K562	rank_K562	MCF7	rank_MCF7	NCIH2030	rank_NCIH2030	LPS141	rank_LPS141	SKMEL2	rank_SKMEL2
RPL19	57	CSH1	57	RPL7	57	PSMB1	57	GTF3C5	57
NSA2	58	LOC102724862	58	VCP	58	SNRPG	58	EIF2B3	58
PSMB4	59	NIP7	59	RPL35A	59	CCT2	59	CCDC84	59
ALDOA	60	POLR2I	60	RPL19	60	NOP58	60	SEC61A1	60
PLK1	61	BPTF	61	PLK1	61	RPF2	61	PYROXD1	61
DDX10	62	PTPMT1	62	SKA2	62	RPS11	62	GPR89A	62
WDR82	63	RPL27	63	ACTR1A	63	DCTN5	63	PES1	63
SRSF1	64	SEH1L	64	SBDS	64	RPL23A	64	EIF4E	64
WDR74	65	UBA52	65	PSMB4	65	WASH1	65	PFDN2	65
NAA50	66	XPO1	66	COX15	66	GRPEL1	66	CDC45	66
TAZ	67	RPL18	67	MYC	67	METTL1	67	RPL31	67
TUBB	68	RPS27	68	VPS28	68	VCP	68	LONP1	68
CDC45	69	UTP3	69	HSPA5	69	DDX10	69	NEDD8	69
XRCC5	70	COPA	70	DPH3	70	TRRAP	70	KARS	70
RPS11	71	RPS6	71	NFS1	71	NOP56	71	NCAPD3	71
CENPM	72	TUBD1	72	RPL24	72	PFDN2	72	EIF6	72
WASH1	73	CDCA8	73	RPL34	73	SNRNP200	73	PMF1-BGLAP	73
RFC3	74	NBPF15	74	ANAPC1	74	RPL11	74	RBM8A	74
EIF2S3	75	RPS18	75	POLR2A	75	CCER1	75	RFC2	75
CAD	76	RNFT1	76	METTL17	76	DPH3	76	DIS3	76
PGS1	77	TBX2	77	GFPT1	77	POP7	77	RPL7	77
NLE1	78	SOD1	78	RPS17	78	RPS23	78	GEMIN4	78
EIF2S1	79	VCP	79	COASY	79	IMP4	79	BRF1	79
METAP2	80	SCN4A	80	WASH1	80	ANAPC11	80	MCM7	80
AP2S1	81	PPM1E	81	RPL27	81	UTP20	81	GINS2	81
TXN	82	RPL6	82	RPL12	82	RPL34	82	DDOST	82
ANAPC11	83	CDK1	83	ATP6V0C	83	MBD6	83	UTP11L	83
RPL7	84	NPIPB6	84	HNRNPC	84	RFC3	84	DNA2	84
CCT5	85	RPS16	85	NDUFB4	85	RPS8	85	GNL3	85
IARS2	86	TIMM13	86	DDX42	86	RCL1	86	DUT	86
ATP5H	87	SOD2	87	PFDN2	87	RPS15A	87	POLR2G	87
HSPD1	88	OR7E24	88	SEPTIN7	88	LSM7	88	EIF3I	88
RPL31	89	RPL34	89	RPL23A	89	PHF5A	89	RPN1	89
NEDD8	90	RAE1	90	CDK1	90	WDR18	90	SMC5	90
DDX21	91	GNL3	91	TIMM10	91	VPRBP	91	VPS52	91
ATL2	92	SF3B5	92	RRM1	92	KRT1	92	SNRPF	92
RPL6	93	TAF1C	93	TBC1D3F	93	PSMB3	93	ABCF1	93
YPEL1	94	HSPA5	94	MECR	94	RPL10	94	RABGGTB	94
RUVBL2	95	DDX21	95	U2AF1	95	RPL18	95	DDX55	95
NXF1	96	RPL8	96	TUBA1B	96	HSPA8	96	VCP	96
SPDYE2	97	C19orf52	97	RPL8	97	NEDD8	97	KCMF1	97
PCID2	98	AP2S1	98	EIF6	98	CCT5	98	NAT10	98
ACTR1A	99	NDC80	99	VWA9	99	GNB2L1	99	SUPT16H	99
DAD1	100	TERF2	100	SEH1L	100	EIF1AX	100	PRELID1	100
CARS	101	UQCRH	101	ATP2A2	101	RPS19	101	DARS	101
SEC61A1	102	GPN2	102	CDC45	102	PSMA5	102	HSPA9	102
CPSF3	103	RPL36AL	103	TRRAP	103	TPI1	103	DNM2	103
ATP5A1	104	POLR3K	104	NEDD8	104	UXT	104	GFM1	104
PAICS	105	MAT2A	105	PTPMT1	105	ORAOV1	105	GTF3C4	105
FBXW11	106	GOLGA6C	106	PMF1	106	ACTR10	106	UBA52	106
DDX42	107	RPL5	107	RPL27A	107	FAU	107	NOC4L	107
SNRPG	108	PRKDC	108	LOC100507462	108	TOP2A	108	F8A1	108
COPA	109	ARMC7	109	CTC1	109	UBE2I	109	RPL8	109
RRM1	110	OR4F21	110	SUPT16H	110	MCM7	110	SSRP1	110
TOP2A	111	WDR70	111	RPL31	111	MOCS3	111	NUPL1	111
SKIV2L2	112	METTL17	112	VPS29	112	ABCE1	112	TRMT112	112
ALG13	113	NDUFA1	113	ELP3	113	CCT6A	113	PSMG3	113
PET117	114	DNAJC9	114	RPS18	114	UBA52	114	HSPA5	114
RPS4X	115	RAD9A	115	CDC16	115	PRMT5	115	CHORDC1	115
PNPT1	116	HMGCS1	116	VPS25	116	UROD	116	EP400	116
IMP4	117	ATP2A2	117	BCS1L	117	DCTN2	117	VARS	117
CHEK1	118	CFDP1	118	SNRPG	118	EIF2S1	118	RAD1	118
AHCYL1	119	COX17	119	RPF2	119	POLR2J	119	IMP4	119
CHMP2A	120	ZNHIT2	120	CMTR1	120	USP17L29	120	RTCB	120
RCL1	121	SMU1	121	RAD9A	121	KIF5A	121	NUF2	121
PPIAL4E	122	FOXA1	122	COPA	122	EIF4A3	122	DHX15	122
KIF11	123	MIS18BP1	123	POLR2J	123	PGS1	123	RNF4	123
DYNLRB1	124	ORC6	124	SOD2	124	SLC26A10	124	SRSF1	124
DDX56	125	SNRNP40	125	ALDOA	125	EIF4E	125	IPO13	125
SOD2	126	RAD51	126	EFTUD2	126	SKIV2L2	126	VPS13D	126
RPL10	127	FDX1L	127	RPL9	127	RPL8	127	KIF11	127
RPS10	128	HSPA9	128	PGS1	128	DHX37	128	PCBP2	128
EXOSC9	129	RBM25	129	SNRPD2	129	SKP1	129	ZPR1	129
DCTN5	130	SKA2	130	RPL15	130	MAK16	130	CAPZB	130
DLST	131	MRPL17	131	DCTN6	131	SNRPD2	131	RPL35A	131
SFPQ	132	GTPBP4	132	EIF2B4	132	CPM	132	SKIV2L2	132
SPDYE6	133	MKS1	133	CCT6A	133	FEN1	133	TOP2A	133
LIPT1	134	EXOSC6	134	FAM96B	134	EIF3B	134	NOP16	134
MOCS3	135	CDC16	135	RPL17-C18orf32	135	DDIT3	135	CCT4	135
RPS20	136	NACA2	136	YARS2	136	HSPA5	136	PELO	136
RGP1	137	MARS2	137	ALG13	137	EEF1G	137	MYBBP1A	137
PMF1	138	ATP5B	138	CDK9	138	RSL24D1	138	DNLZ	138
WDR18	139	NOP10	139	DDX21	139	CCDC184	139	SPDYE6	139
SUPT16H	140	EIF5	140	FDXR	140	TMEM119	140	MIS18BP1	140
ATP5B	141	EIF3I	141	PAICS	141	MFN2	141	POLR2L	141
MTHFD1	142	TRRAP	142	PRMT1	142	VARS	142	MCL1	142
GFM1	143	SMG8	143	SLMO2	143	DHPS	143	RPL35	143
GPN2	144	TBX4	144	SF3A1	144	PSMB2	144	WDR7	144
PSMB7	145	RPL9	145	LRRC37A	145	FAM96B	145	OGT	145
POLR1A	146	SPDYE2B	146	DDX23	146	HEATR1	146	ISY1	146
RPS19	147	SKIV2L2	147	RBM8A	147	FBL	147	TBCD	147
UBL5	148	TWISTNB	148	SMC4	148	GINS2	148	DNAJC17	148
EEF1A1	149	WDR82	149	RFC5	149	RRM1	149	NOP10	149
CPSF3L	150	PSMA4	150	RCL1	150	PDCD2	150	TRAPPC11	150
UTP15	151	EIF1	151	WDR74	151	PSMG1	151	RPL13	151
VARS	152	NBPF14	152	SEC61A1	152	RPL10A	152	TELO2	152
UBE2S	153	POLR1C	153	CIAO1	153	TRMT5	153	RPP30	153
DPH3	154	EXOC1	154	TUBA1C	154	DDX54	154	NOL10	154
PGAM1	155	UBL5	155	TAF6	155	ACTR1A	155	TIMM9	155
RAE1	156	CRNKL1	156	HSD17B10	156	PRIM1	156	ACTR3	156
RPS14	157	SAE1	157	HIST2H3A	157	ATP5A1	157	PHB2	157
SDHA	158	RPLP2	158	RPL10A	158	POLR3C	158	PSMD14	158
HSCB	159	PPM1D	159	TBC1D3C	159	RPS13	159	ACTR2	159
PGM3	160	RANGAP1	160	RFC3	160	RBM25	160	PSMD7	160
RSL24D1	161	PSMA5	161	COA6	161	SNRPD1	161	SIN3A	161
MARS2	162	COASY	162	PMVK	162	POLR1E	162	HBS1L	162
GATA1	163	NCOA3	163	NOP56	163	RPL27A	163	HINFP	163
LUC7L3	164	TICRR	164	DLST	164	TUT1	164	SMC4	164
UBA1	165	RPL12	165	SARS2	165	HSCB	165	NSF	165
NUP160	166	DUX4	166	ETF1	166	SMC3	166	SYS1	166
PPP4C	167	RPS2	167	PMF1-BGLAP	167	MRPL41	167	PMPCB	167
HSD17B10	168	ADSL	168	NAA10	168	RPL35A	168	YARS2	168
GPN1	169	TCEB2	169	POLD2	169	ENO1	169	CDC16	169
CWC22	170	CTSZ	170	POLR3A	170	POLR1B	170	HSPE1	170
COPS6	171	RPS10-NUDT3	171	CHAF1B	171	NOL10	171	RPL27	171
RANGAP1	172	TUBA1B	172	ABCB7	172	ATP6V0C	172	EIF3CL	172
MAK16	173	RPS11	173	PTK2	173	PAK1IP1	173	CTDNEP1	173
BANP	174	PRELID1	174	POLR1C	174	NPM1	174	UTP20	174
EIF5	175	RPL31	175	AURKA	175	YARS	175	SRSF11	175
DCTN6	176	PLEKHF2	176	RPS20	176	OR10AD1	176	PGAM1	176
SPDYE2B	177	OR4F29	177	RPS3A	177	UBA3	177	RPS24	177
RRN3	178	AQR	178	POLR3B	178	HNRNPU	178	NFS1	178
NBPF14	179	NOP56	179	DIS3	179	CCT7	179	MFN2	179
RPL35	180	PRICKLE2	180	PRIM1	180	EIF3E	180	WDR18	180
RPS28	181	PSMD6	181	DDX54	181	HINFP	181	CLTC	181
PTPMT1	182	CNOT1	182	PAFAH1B1	182	ARMC7	182	SF3B1	182
HDAC3	183	RPL35	183	DHFR	183	COPB2	183	EEF1G	183
GTF2B	184	TUBGCP2	184	EIF3I	184	USP17L28	184	RFC3	184
QRSL1	185	RPL10A	185	SLC25A26	185	CPSF2	185	RAD9A	185
LRPPRC	186	CSHL1	186	POLR1A	186	RPL24	186	FARSB	186
RCC1	187	CYC1	187	RPS5	187	NARS	187	NOL9	187
NOP10	188	RFWD2	188	HUWE1	188	TERF2	188	TERF2	188
EIF4A3	189	MRPS21	189	ORAOV1	189	GTPBP4	189	NMD3	189
METTL16	190	GINS2	190	PSMD6	190	CIAO1	190	UBL5	190
CCT7	191	LOC101060389	191	HDAC3	191	E4F1	191	RPL11	191
LSM2	192	RRM1	192	SMC3	192	DUX4	192	GOSR2	192
SOD1	193	RPS25	193	METAP2	193	UTP15	193	EIF5	193
CHD4	194	GART	194	HIST2H3C	194	WDR74	194	CCND1	194
RPF2	195	XRCC5	195	POLRMT	195	TCP1	195	CENPM	195
PSMA7	196	TKT	196	YARS	196	UBL5	196	ARL2	196
MRPL17	197	DUT	197	TERF2	197	SPC24	197	SMC6	197
WDR3	198	RUVBL1	198	FAU	198	PSMD7	198	XRN2	198
PSMA5	199	TANGO6	199	RPS19	199	WDR12	199	METTL16	199
BCR	200	KIF11	200	GART	200	RPS24	200	UBA3	200
RPS6	201	WIPI1	201	C17orf70	201	CHAF1B	201	RPL15	201
ETF1	202	VHL	202	RBM25	202	SDAD1	202	LAS1L	202
SF3B4	203	PSMB3	203	NAT10	203	TCEB2	203	PRPF31	203
ATP1B3	204	USP17L29	204	UROD	204	PSMD14	204	TP53RK	204
CCT2	205	CCT5	205	GMPS	205	TUFM	205	CCDC27	205
TRIAP1	206	GMPPB	206	USP37	206	NAA50	206	RPS8	206
TAF1B	207	ALYREF	207	GFM1	207	TUBA1B	207	PGK1	207
RPS3A	208	HIST2H3A	208	RPS14	208	WDR82	208	RSL1D1	208
RPS17	209	GATA3	209	SNRNP200	209	RPS27A	209	SMU1	209
CAPZB	210	SLC30A9	210	IMP4	210	GLI1	210	UBR4	210
RAD9A	211	EIF2S3	211	PSMB3	211	TIMM10	211	CWC15	211
PSMD14	212	SNRPD2	212	EIF2B5	212	C10orf2	212	RRM1	212
LARS	213	ACO2	213	SSRP1	213	GPI	213	SEC13	213
PRMT1	214	DR1	214	PWP2	214	AGAP2	214	MAK16	214
EXOSC2	215	METAP2	215	SLC35A2	215	CLP1	215	PRC1	215
COX15	216	NUP155	216	SPC24	216	PSMB4	216	HSCB	216
YARS	217	HRNR	217	BANP	217	GPN2	217	GGPS1	217
CHURC1-FNTB	218	ALDOA	218	RPS6	218	RAN	218	TOP1	218
DHPS	219	MRPL44	219	VPS13D	219	SSU72	219	ZCRB1	219
KANSL1	220	EIF6	220	TUBGCP2	220	RBBP4	220	DHX37	220
GNL3	221	TBC1D3C	221	SUPT4H1	221	EIF6	221	PWP2	221
LSM11	222	PRPF38B	222	KANSL1	222	ARL2	222	UBE3D	222
CCT4	223	SRSF1	223	PPP4C	223	RNGTT	223	PMPCA	223
TBC1D3F	224	ADAM23	224	EP400	224	POLR3B	224	MCM2	224
PPP6C	225	YPEL2	225	ARPC4	225	WBSCR22	225	EFTUD2	225
DIS3	226	NDUFB11	226	MRPS2	226	EIF5	226	U2AF1	226
ATIC	227	PLK1	227	RPL13	227	GAPDH	227	GPR89B	227
TP53RK	228	EIF1AX	228	ATP5B	228	MYC	228	POLR2D	228
PAK1IP1	229	PUF60	229	CSE1L	229	PPP1R7	229	ACTL6A	229
TXN2	230	NUDT4	230	NDUFB11	230	ARHGAP9	230	SAE1	230
LAMC3	231	SRSF2	231	SPDYE2B	231	SNW1	231	MPI	231
KIAA0391	232	ABCB7	232	ZCRB1	232	TBCE	232	AP2M1	232
INTS8	233	PHB2	233	TIMM9	233	EIF3CL	233	PSMB7	233
PRIM1	234	SMC4	234	GOSR2	234	ZCRB1	234	ATP6V1A	234
FCF1	235	DHFR	235	NOL10	235	ATP5B	235	WDR70	235
HARS	236	CTR9	236	TUT1	236	RSL1D1	236	SNRPD2	236
SRSF7	237	AASDHPPT	237	MTOR	237	POLR2J3	237	ECD	237
ABCF1	238	ANAPC1	238	EIF2B3	238	PRPF4	238	NOP56	238
RARS2	239	RPS24	239	RPLP0	239	TELO2	239	GEMIN8	239
GINS2	240	DDB1	240	RPL18A	240	SF3B1	240	NLE1	240
MYB	241	CCND1	241	MOCS3	241	PLK1	241	DYNC1I2	241
EIF3C	242	PCBP2	242	MARS2	242	AK6	242	NUDCD3	242
GLRX5	243	SMARCD2	243	RPS9	243	MRPS21	243	PPP1R8	243
QRFP	244	RABGGTB	244	ATP6V1B2	244	ETF1	244	NUP160	244
FBL	245	ST20	245	FCF1	245	MRPL17	245	USP36	245
GART	246	MAB21L3	246	ATP5A1	246	EIF3C	246	RNGTT	246
DHX37	247	IGBP1	247	PPP2R1A	247	IARS2	247	CLNS1A	247
DHX8	248	CIRH1A	248	PNPT1	248	NCBP1	248	WDR83	248
TKT	249	MED11	249	UQCRC1	249	DHX9	249	DDX18	249
RPS9	250	TBC1D3F	250	PAK2	250	RPL7A	250	MARS	250
SUPT4H1	251	POLR2G	251	MRPS12	251	MCMBP	251	DHX8	251
RBBP4	252	TTC14	252	PSMD7	252	METAP1	252	ASH2L	252
PRMT5	253	ATIC	253	SPDYE2	253	CDK2	253	SNRPD1	253
ACLY	254	LUC7L3	254	NDUFC2	254	CDC7	254	UBA1	254
SAMM50	255	HUS1	255	CCT4	255	RPS12	255	RPS25	255
ERCC2	256	RPL27A	256	WDR18	256	UBE2N	256	DTYMK	256
INO80	257	NDC1	257	NSF	257	NCAPG	257	FANCI	257
RPL18	258	DPH3	258	BIRC5	258	GPN1	258	SAP18	258
POLR3A	259	BCAS1	259	RBM22	259	SRP14	259	CUL3	259
ISY1	260	RAN	260	PSMB1	260	PAFAH1B1	260	DDX23	260
RPL23	261	PAF1	261	DR1	261	SRRT	261	RPF2	261
RBM25	262	USP36	262	VARS	262	LOC100507462	262	RPSA	262
RPL37A	263	MRPL20	263	TARS2	263	SNRNP35	263	PKM	263
POLR3H	264	HYPK	264	DDX6	264	MMS19	264	IMP3	264
TPI1	265	RPE	265	RBBP4	265	RPS20	265	RPS20	265
ABCE1	266	CLTC	266	PRC1	266	VPS25	266	NCAPG2	266
RSL1D1	267	NDUFA6	267	CDK7	267	CCND1	267	GOLGA6L1	267
BCS1L	268	PFDN2	268	SPDYE6	268	RPS4X	268	XRCC6	268
HARS2	269	TIMM10	269	LRPPRC	269	PTCD3	269	SNRPE	269
TRAPPC11	270	MED6	270	PAK1IP1	270	DARS	270	CDCA8	270
PHB	271	FTH1	271	HNRNPK	271	VARS2	271	DDX52	271
GAPDH	272	DNMT1	272	VPRBP	272	MRPL44	272	ABCE1	272
NUP214	273	ARFRP1	273	NUP160	273	CTU2	273	DNAJC11	273
FAM25C	274	CENPL	274	GINS2	274	PPP6C	274	SNRPG	274
TOMM20	275	GEMIN8	275	SF3B4	275	XRCC5	275	PPP2R2A	275
VCP	276	C14orf80	276	TINF2	276	KIF11	276	TUT1	276
GRB2	277	NANOGNB	277	UGP2	277	BANF1	277	RUVBL2	277
ACTR10	278	DDX20	278	SRSF1	278	CENPL	278	VWA9	278
RABGGTA	279	BCAS2	279	MFAP1	279	POLD2	279	AK6	279
DHX35	280	MRPL45	280	PHB	280	CWC15	280	EXOSC8	280
RARS	281	MEN1	281	DTL	281	USP17L18	281	ATL2	281
NDUFB11	282	S100A11	282	PSMC4	282	ECD	282	NSL1	282
RPL35A	283	ZNF217	283	PDRG1	283	PSMD4	283	MRPS27	283
RPL8	284	NDUFA11	284	ISCA1	284	METAP2	284	CCT5	284
TCP1	285	EIF4A3	285	TRMT6	285	RPS6	285	RPLP0	285
SBDS	286	MRPL41	286	GOLGA6L1	286	GEMIN8	286	LSM6	286
DGCR14	287	GFM1	287	DNA2	287	SSB	287	HSPA14	287
MYC	288	SUPT4H1	288	TRAPPC11	288	PSMC2	288	VARS2	288
MAT2A	289	CARS	289	COX7B	289	DAD1	289	RBM48	289
DHODH	290	MRPS7	290	ACTR10	290	EPRS	290	SART3	290
SLC30A9	291	LIN52	291	MED6	291	CFLAR	291	PELP1	291
ATP6V1A	292	FAM157A	292	CLP1	292	EIF3A	292	NUS1	292
HNRNPC	293	DNA2	293	ILF3	293	LSM8	293	NDUFAB1	293
EIF6	294	DHX15	294	NBPF20	294	NUF2	294	NOP58	294
MRPL12	295	USP17L15	295	NLE1	295	GLRX5	295	RPS3	295
RPL3	296	HIST2H2BE	296	UQCRB	296	SMC4	296	DNMT1	296
SUPV3L1	297	HUWE1	297	EXOSC2	297	PPP2R1A	297	PHAX	297
NARFL	298	KCMF1	298	NHP2	298	CARS	298	NSA2	298
UHRF1	299	CUL3	299	EIF2S3	299	PHB	299	PCNA	299
HUWE1	300	USP17L28	300	HARS	300	HNRNPC	300	DDX10	300
CTNNBL1	301	RNGTT	301	RPS15	301	RPL21	301	WDR12	301
RPS24	302	RGPD1	302	MED30	302	CCDC84	302	CNOT1	302
MIPEP	303	NBPF9	303	TICRR	303	TRIAP1	303	TOMM20	303
CHAF1B	304	ATP5D	304	PSMG3	304	PSMB5	304	RPL28	304
RPS27	305	NDUFB8	305	MRPS25	305	UBA1	305	CCT6A	305
MRPS27	306	U2AF1	306	NELFCD	306	RPS3	306	LOC100507462	306
PGD	307	RPSA	307	VMP1	307	PPP4C	307	DTL	307
ENO1	308	CHD4	308	RBX1	308	RPS25	308	CPSF3L	308
MRPS21	309	TACC3	309	SF3B1	309	SPDL1	309	TAF13	309
SRSF10	310	PMF1-BGLAP	310	LUC7L3	310	PSMG3	310	DHX36	310
ILF2	311	WDR1	311	DHX37	311	SEC61A1	311	CENPK	311
MECR	312	TRAPPC4	312	LAMTOR2	312	CFAP20	312	SNRNP200	312
HINFP	313	ANKRD49	313	ATP5D	313	POLD3	313	WDR75	313
PSMD3	314	MCM7	314	DUT	314	CDK9	314	MNAT1	314
NDUFS1	315	YPEL5	315	NHLRC2	315	WBSCR16	315	ALG13	315
MRPL51	316	KDM2A	316	RABGGTA	316	RFC5	316	CTR9	316
SNRPD3	317	EXOSC4	317	ATP6V0B	317	UBA2	317	KRR1	317
GTPBP4	318	USP17L22	318	MCMBP	318	ERH	318	GRPEL1	318
XPO1	319	HSPD1	319	COX14	319	NAA15	319	TPT1	319
TICRR	320	ORAOV1	320	PTPN11	320	TANGO6	320	NELFB	320
TRPM7	321	SPDYE6	321	SRSF3	321	MIS18BP1	321	TUBGCP3	321
CCDC94	322	ZNF664	322	NOL9	322	GNL3	322	ASNS	322
MEN1	323	PSMC6	323	DARS	323	HSD17B10	323	PSMB6	323
UTP3	324	SPC24	324	SRSF7	324	RPLP2	324	PRPF39	324
FNTA	325	MRPL27	325	ITGB5	325	NSA2	325	SNUPN	325
LRRC37A3	326	DDX42	326	RPS10	326	DDX23	326	SUPT5H	326
SF3B1	327	KANSL2	327	TIMM13	327	CDC73	327	ADSL	327
SRSF2	328	SNRNP25	328	POTEF	328	SPDYE2	328	DCTN2	328
NOL10	329	PFDN6	329	RPLP2	329	SUPT6H	329	RPL10A	329
GARS	330	HACE1	330	KIF11	330	DDX55	330	GTF2A2	330
RBM8A	331	DLST	331	NMNAT1	331	DHX15	331	CDT1	331
WDR77	332	HIST1H2AH	332	SAMM50	332	MRPL13	332	MCAT	332
EFTUD2	333	PRPF8	333	DCTN5	333	UTP3	333	KPNB1	333
DDX6	334	GNB2L1	334	HSPD1	334	ZPR1	334	CSE1L	334
DNA2	335	EIF2S2	335	COPS2	335	OGT	335	WDHD1	335
NAMPT	336	MRPL57	336	GAPDH	336	URB2	336	PSMB5	336
COPS2	337	VPS25	337	FBL	337	RFC2	337	MTG2	337
MVK	338	BCL2L15	338	TRMT112	338	PPIL2	338	ATP1A1	338
NDUFB8	339	SLMO2	339	ANAPC2	339	EXOSC9	339	PSMD3	339
PSMB2	340	TRMT112	340	ARFRP1	340	RAD9A	340	CDC42	340
FAM96B	341	EXOSC8	341	RPS27	341	DIMT1	341	ELP5	341
VPS25	342	SNRPG	342	CENPK	342	TIMM9	342	SAMM50	342
RAD51C	343	POLD3	343	ATP1A1	343	NOL9	343	POLD2	343
CTU2	344	RPP21	344	PWP1	344	NUDT21	344	RPA3	344
RUVBL1	345	RPF2	345	RPS24	345	HARS	345	GOLGA6C	345
RTFDC1	346	BRIP1	346	RPS11	346	SMC5	346	POP1	346
C10orf2	347	NBPF4	347	WDR73	347	RABGGTB	347	UBA5	347
ZNF280B	348	NCBP1	348	ABCE1	348	TRAPPC11	348	DPH2	348
RTCB	349	OR2T34	349	RBBP5	349	POLA1	349	CDC7	349
POLR1B	350	DHX33	350	BPTF	350	HAL	350	MMS19	350
AURKA	351	GRPEL1	351	DDX10	351	ILF2	351	GCN1L1	351
RPS21	352	CCT6A	352	NAA15	352	TUBA1C	352	SOX10	352
SDAD1	353	DSCC1	353	GADD45GIP1	353	MCM3	353	UGP2	353
SNRNP25	354	ATP5A1	354	ALG2	354	SOD1	354	ATP6V0B	354
MARS	355	ASUN	355	XPO1	355	PCID2	355	CCNH	355
TSR2	356	DNAJC17	356	ADSL	356	GINS1	356	EIF2S1	356
NELFCD	357	SDHD	357	GUK1	357	ZNF626	357	SRRT	357
CIAO1	358	PRMT1	358	COG2	358	LTA4H	358	RPL17	358
NDUFA11	359	ATP5H	359	MVK	359	DIS3	359	NR2C2AP	359
DUT	360	RPS27A	360	CRNKL1	360	RPS15	360	PSMA7	360
RPS27A	361	PDHB	361	SUPT6H	361	PSMC4	361	NAPA	361
