site	total_incidence	male_incidence	female_incidence	total_mortality	male_mortality	female_mortality	total_survival	male_survival	female_survival	subcategory
Trachea_respiratory_organs	0.2	0.3	0.1	0.1	0.1	0.1	54.9	54	57.4	Respiratory_system
Bones_joints	1	1.1	0.8	0.5	0.6	0.4	66	63.8	68.7	Bones_joints
Soft_tissue	3.5	4.2	2.9	1.3	1.5	1.2	64.7	64.4	65.1	Soft_tissue
Skin	24.7	32.2	19.3	3.4	5.3	1.9	92	90.3	94.4	Skin
Melanoma	22.7	29.3	17.8	2.4	3.5	1.5	92.7	91.1	94.8	Skin
Non_epithelial_skin	2.1	2.9	1.5	1	1.7	0.5	83.7	80.9	88	Skin
Breast	68.9	1.2	128.5	11.3	0.3	20.3	90	83.6	90	Breast
Breast_in_situ	17.4	0.1	33	-	-	-	100	100	100	Breast_in_situ
Female_genital_system	27.2	-	51.3	8.2	-	15.1	70	-	70	Female_genital_system
Cervix_uteri	3.8	-	7.4	1.2	-	2.3	66.1	-	66.1	Female_genital_system
Corpus_uteri	14.3	-	27	1.2	-	2.3	82.7	-	82.7	Female_genital_system
Uterus_NOS	0.5	-	0.9	1.4	-	2.6	28.5	-	28.5	Female_genital_system
Ovary	6	-	11.2	3.8	-	6.9	48.6	-	48.6	Female_genital_system
Vagina	0.4	-	0.7	0.1	-	0.2	48.5	-	48.5	Female_genital_system
Vulva	1.4	-	2.6	0.3	-	0.5	70.4	-	70.4	Female_genital_system
Other_female_genital_system	0.9	-	1.7	0.2	-	0.4	50.8	-	50.8	Female_genital_system
Male_genital_system	53.7	116.9	-	8.1	19.6	-	97.5	97.5	-	Male_genital_system
Prostate	50.2	109.8	-	7.8	19.1	-	97.8	97.8	-	Male_genital_system
Testis	3	5.9	-	0.1	0.3	-	95	95	-	Male_genital_system
Penis	0.4	0.9	-	0.1	0.2	-	65.4	65.4	-	Male_genital_system
Other_male_genital_system	0.1	0.3	-	0	0	-	82.8	82.8	-	Male_genital_system
Urinary_system	37.2	58.7	20.3	8.3	13.3	4.6	75.5	76.2	73.9	Urinary_system
Urinary_bladder	20	34.9	8.6	4.4	7.5	2.1	76.9	78.3	72.4	Urinary_system
Kidney_renal_pelvis	16.3	22.4	11.1	3.7	5.4	2.3	75.2	74.5	76.3	Urinary_system
Ureter	0.5	0.8	0.4	0.1	0.2	0.1	47.4	48.9	45.3	Kidney
Other_urinary_system	0.4	0.7	0.2	0.1	0.2	0.1	48.2	51.5	41.7	Urinary_system
Eye_orbit	0.9	1	0.8	0.1	0.1	0.1	83.2	83.6	82.6	Eye_orbit
Brain_nervous_system	6.4	7.5	5.4	4.4	5.4	3.6	32.6	31.3	34.2	Brain_nervous_system
Brain	6	7.1	5	-	-	-	29.4	28.5	30.5	Brain_nervous_system
Cranial_nerves_other_nervous_system	0.4	0.4	0.4	-	-	-	80.1	78	82.1	Brain_nervous_system
Endocrine_system	16.5	9	23.8	0.8	0.8	0.8	96.6	92.8	97.9	Endocrine_system
Thyroid	15.7	8.1	23.1	0.5	0.5	0.5	98.3	95.9	98.9	Endocrine_system
Other_endocrine_thymus	0.8	0.9	0.7	0.3	0.3	0.3	65.3	66	64.5	Endocrine_system
Lymphoma	22.2	26.8	18.5	5.8	7.5	4.5	74.6	73.5	76	Lymphoma
Hodgkin_lymphoma	2.6	2.9	2.3	0.3	0.4	0.2	87.4	86.5	88.6	Lymphoma
NonHodgkin_lymphoma	19.6	23.8	16.2	5.5	7.1	4.2	72.7	71.5	74.2	Lymphoma
Myeloma	7	8.8	5.7	3.3	4.1	2.6	53.9	53.7	54.1	Myeloma
Leukemia	14.1	18.1	11	6.4	8.6	4.8	63.7	64.6	62.4	Leukemia
Lymphocytic	7.1	9.4	5.3	1.7	2.4	1.2	81.3	81.6	80.9	Leukemia
ALL	1.7	2	1.5	0.4	0.5	0.4	68.8	68.4	69.2	Leukemia
CLL	5	6.8	3.5	1.2	1.7	0.8	86.1	85.9	86.3	Leukemia
Other_lymphocytic	0.4	0.6	0.2	0.1	0.2	0.1	82.4	85.3	73.2	Leukemia
Myeloid_monocytic:	6.5	8.1	5.3	3.4	4.4	2.6	42.7	42.6	42.9	Leukemia
AML	4.3	5.2	3.6	2.8	3.6	2.2	28.7	27.7	29.9	Leukemia
CML	1.9	2.5	1.5	0.3	0.4	0.2	70.4	69.5	71.6	Leukemia
Acute_monocytic	0.2	0.2	0.2	0	0	0	23.6	21.7	25.7	Leukemia
Other_myeloid_monocytic	0.1	0.2	0.1	0.2	0.4	0.2	38.7	40.7	36	Leukemia
Other_leukemia	0.5	0.6	0.4	1.3	1.8	1	34.1	35.4	32.5	Leukemia
Other_acute_leukemia	0.2	0.3	0.2	0.4	0.6	0.3	25.9	27.9	23.6	Leukemia
Aleukemic_subleukemic_NOS	0.3	0.3	0.2	0.9	1.2	0.7	40.4	41.6	39.1	Leukemia
Kaposi_sarcoma	0.5	0.9	0.1	-	-	-	74.4	73.8	79.8	Kaposi_sarcoma
Mesothelioma	0.9	1.6	0.4	-	-	-	10.1	7.7	17.1	Mesothelioma
Unspecified	7.5	8.7	6.5	11.6	14.6	9.4	18.6	22	15	Unspecified
