K562	fdr_K562	lfc_K562	NCIH2030	fdr_NCIH2030	lfc_NCIH2030	LPS141	fdr_LPS141	lfc_LPS141	 SKMEL2	fdr_SKMEL2	lfc_SKMEL2
CCT2	1	-2.5008	IQGAP1	0.669864	-0.70256	SMARCC1	1	-0.77835	MZT2A	0.998835	-2.1752
GDF2	1	-2.7978	HTR1E	0.992354	-0.96979	PML	1	-0.51295	HEY1	0.998835	-2.3223
KLK7	0.591784	-0.71678	ZNF385B	1	-0.71054	PKD2L1	1	-1.0513	PSPH	0.998835	-4.0879
SLC31A1	1	-2.2466	ALDH1A1	0.895048	0.10367	MTX2	1	-0.91665	CEBPB	0.998835	-0.57048
ATP10A	1	-2.8257	NDRG3	0.964383	-0.052458	FAM83G	1	-0.65004	OR5H1	0.998835	-2.4874
WDR44	0.621911	0.44082	EPHA8	0.989176	-0.14509	TP53	1	-0.71453	PPP2R2C	0.998835	-1.8582
KCTD5	1	-0.75765	RALGAPA1	0.930027	-0.76976	NID1	1	-0.36752	HYAL1	0.998835	-3.5297
SLC25A1	1	-1.9557	FOXI3	0.467233	0.66937	NDUFV2	0.941578	-1.198	PDZD4	0.998835	-2.2134
PSMC2	0.47665	-0.96805	PARPBP	0.941466	-0.82183	HLA-E	0.992437	-0.55401	TM7SF3	0.998835	-2.6907
APOBEC3D	0.726238	-2.9683	BMPR2	1	-0.48872	MBOAT7	1	-0.82943	KLK10	0.998835	-1.5764
LIN54	1	-2.335	DDHD2	0.976871	-0.1364	NGLY1	1	-1.3869	OR2T8	0.998835	-4.4176
SRSF11	0.282764	1.4762	OLIG1	1	-0.38593	MYBL1	1	-1.2553	PXDN	0.998835	-4.2064
NDUFC2-KCTD14	0.478197	-3.006	ICA1L	0.970683	-0.78297	SCIN	1	-0.51467	GLB1L3	0.998835	6.4381
DIRAS2	1	-2.2075	GLDN	0.684578	0.46825	SCAF4	1	-0.71282	TRIO	0.998835	3.2621
B3GALT2	0.376349	1.3225	MYH9	1	-0.47146	NCEH1	1	-0.85758	PCDH8	0.998835	-1.1457
SLC8A2	1	-2.6878	GDF1	0.939412	-0.35582	SCD	0.972988	-2.117	C1orf189	0.998835	-4.3333
CAPZA2	1	-1.3866	ZNF257	0.736526	-0.10489	APOD	1	-1.7537	MMP11	0.998835	-1.1457
LRCH3	1	-1.0273	GSTM3	0.565813	0.40615	C3orf38	0.708286	0.62269	FOLR3	0.998835	6.0971
FMN1	0.772347	-1.385	NCEH1	1	-0.61425	ZBTB10	0.943634	-0.93004	DUOX2	0.998835	-1.3693
BUD31	1	-2.6503	TUBA1A	1	-0.56432	CREB1	1	-1.1174	SPATA31D4	0.998835	-4.6161
KLLN	0.211739	2.089	NDRG2	0.530213	0.35264	ATM	0.972988	-0.18867	UHRF1BP1	0.998835	4.7889
ZNF555	0.75631	0.46098	USP17L20	0.994346	-0.15422	P2RY4	1	-0.54166	SH3BP4	0.998835	-0.88658
PFN1	0.588519	-3.9745	RASA1	0.930027	0.20312	FBXO45	1	-0.57198	GLUL	0.998835	-2.1359
TMEM30A	1	-2.0232	MRAS	1	-0.4887	GTF2H5	0.961956	-0.44734	MEST	0.998835	1.7053
TXLNA	0.812216	0.31543	QRICH1	0.930027	-0.00168	TLL2	0.972988	-0.07889	MMP12	0.998835	-3.3865
PHF20	1	-2.3851	IL17D	0.874771	-0.7506	PCYT1A	1	-0.93563	CDY1B	0.998835	-5.1273
TMEM140	1	-3.1634	TEKT2	1	-0.55873	LDLRAD1	0.81215	-0.5586	CRLF2	0.998835	-1.4951
ENSA	1	-2.442	ATP2B1	1	-0.49116	JOSD1	0.771012	-0.86371	CNFN	0.998835	-4.4419
ETV7	0.812216	-3.1323	ASNSD1	0.557284	0.28209	MAP2K5	1	-0.5466	EYA3	0.998835	-2.9617
MTRNR2L6	1	-3.0045	PLIN5	0.975814	-0.44783	COA7	1	-1.1523	MAB21L1	0.998835	-1.9672
KRI1	0.785778	-3.0581	GMNC	0.892417	-1.0314	CA10	1	-0.70771	CTF1	0.998835	-2.8689
PKDCC	1	-2.6621	PTMA	1	-0.61495	ING1	1	-1.1982	ZNF789	0.998835	-2.6907
SLAMF6	1	-1.9684	CSNK2A2	0.773403	0.3634	PEX14	0.972988	0.064175	BEND4	0.998835	-1.1968
NWD1	1	-2.0856	SPTLC3	0.538233	0.67303	EXOSC4	1	-1.6599	PDCD2L	0.998835	-3.4991
RERE	1	-3.0861	DBNDD2	1	-0.57379	COL4A2	1	-0.92032	C1orf233	0.998835	-4.2712
GPHN	0.621911	0.14158	RND3	1	-0.48115	SPATA8	1	-0.19489	MGARP	0.998835	-3.4196
SMPD1	0.840659	0.19485	ARIH2	1	-0.76423	ABCD1	1	-0.618	SNAP47	0.998835	-1.9672
ADGRF4	1	-1.6195	MTMR2	1	-0.78377	MORN1	1	-0.72245	TLR8	0.998835	3.8971
OSCP1	1	-1.3	ATP6V1B1	1	-0.71185	POLQ	1	-0.88107	CD84	0.998835	-5.4767
QARS	0.591784	-4.3167	HS6ST3	0.939412	-0.77136	BRAP	1	-1.6122	KRTAP6-2	0.998835	-4.8524
PTPRZ1	1	-3.0724	DCUN1D3	0.846274	-0.44124	RANBP1	0.898393	-1.1087	USF2	0.998835	-2.6071
SPATA5	1	-3.0486	C1QL4	0.991894	-0.52352	CHRAC1	1	-1.4378	CACNA1E	0.998835	-4.7325
CSNK1G2	1	-2.3609	SPACA7	1	-0.81364	MYO16	0.953353	-0.43606	UTS2R	0.998835	-4.0141
CCDC85A	0.737145	0.86967	UPF2	0.992354	-0.52122	CYBB	0.585467	-0.051389	OPN5	0.998835	-1.1415
TMEM183A	1	-0.44278	KRT84	0.46181	1.0314	IER3IP1	0.976417	-0.27074	ANGPTL3	0.998835	-0.97823
ACTRT3	1	-2.5149	BTN2A1	0.997378	-0.543	DGKB	0.882038	0.14516	KALRN	0.998835	-4.3158
CCDC9	1	-2.7016	CCT8L2	1	-0.63335	LCLAT1	1	-0.64387	BHLHE22	0.998835	-2.9617
FNIP1	0.248441	-2.9202	DDO	1	-0.35539	TOP1MT	1	-0.74723	ZSCAN21	0.998835	-3.2275
DES	1	-2.957	APOC4	0.632765	0.21417	FAM47E	1	-0.64519	PTK7	0.998835	-2.939
ZNF426	0.505165	-0.62999	RDH10	0.987741	-0.75484	CCNT2	0.695945	0.67199	TAGAP	0.998835	6.3892
LAPTM4A	0.298443	0.49967	ZBED1	1	-0.4263	TREM1	1	-0.65265	HMOX1	0.998835	-4.9233
TTC3	1	-0.89755	FAM96A	1	-0.44632	SREBF1	1	-0.6859	SEC23B	0.998835	-2.0724
ZNF212	1	-2.8683	WNT4	0.949231	0.065548	CFHR4	0.448131	0.48703	GAMT	0.998835	-2.3906
METTL3	1	-2.5148	ACSL1	1	-0.41581	ADORA2A	1	-0.78418	DEPDC7	0.998835	-1.9672
EXOSC8	1	-3.0469	FJX1	0.981554	-0.46265	CCDC122	1	-0.65193	GABRB1	0.998835	-2.3223
GLRA4	1	-1.9769	HIST2H2BE	1	-0.74951	KRTCAP3	0.405491	0.49989	CMTM1	0.998835	-5.4042
CH17-360D5.1	0.46436	-2.9741	FRYL	1	-0.32069	KAT7	1	-2.5058	KRTAP5-6	0.998835	-0.57048
CHAC1	0.639534	-2.9741	IRF2BPL	0.997378	-0.46394	VAT1	1	-0.70333	FCGR2A	0.998835	-2.4874
DNA2	0.042241	-1.3581	GFOD1	0.88756	-0.41901	C12orf49	1	-0.64087	TSHZ3	0.998835	-0.4476
HIST1H2AD	1	-2.309	MLLT1	1	-0.38947	AGAP9	1	-0.99661	PRRC2B	0.998835	5.9279
LZTR1	1	-2.5793	HERC2	1	-0.53	PDIA2	0.818547	0.19337	C10orf55	0.998835	-2.6071
USP17L17	1	-3.0175	PPP2R2B	0.688381	0.17906	FER	0.952234	-0.97034	EFCAB7	0.998835	-3.5448
RSPO1	1	-1.4355	LOC101928436	0.729953	0.49974	TFDP2	1	-1.4236	ZBTB44	0.998835	-3.4519
ST6GAL2	1	-2.7949	RBM42	0.28611	0.50308	ATP2B1	1	-0.72814	COL12A1	0.998835	-2.4236
SEPTIN5	1	-2.0093	BRD2	1	-0.93726	QPCT	1	-0.56913	CLIC2	0.998835	5.1121
THAP6	1	0.21824	DTWD1	0.971078	-0.048027	BANF2	1	-0.82633	OR5T2	0.998835	-3.6035
ELL3	1	-2.4042	OR2T5	1	-0.36742	KLRC1	0.80368	-1.6463	CADM2	0.998835	-4.2252
TOMM22	1	-2.3277	CNR2	0.483699	0.63805	ZNF564	0.992437	-0.9088	KIF21B	0.998835	-4.2803
RPS6KA2	1	-1.909	CYHR1	0.949231	-0.28329	MYO5B	0.771012	0.36074	IQCF5	0.998835	-1.7713
MGA	1	-2.4583	LTA	0.987383	-0.2037	MTSS1	1	-0.43355	OXCT1	0.998835	-2.939
TIGD5	0.685208	0.34736	ZNF800	0.997225	-0.18914	MFSD12	1	-0.60064	CLIP3	0.998835	-3.7143
VENTX	0.035138	-1.1259	VKORC1L1	1	-0.50922	ARID2	1	-0.90219	FOXJ3	0.998835	0.082117
URB2	0.97052	-0.43541	FAM47B	1	-0.58197	RXRB	1	-0.76051	ZNF550	0.998835	-4.2892
CSNK2B	1	-0.86448	SGTB	0.997378	-0.44401	C1orf112	1	-0.79395	RAB31	0.998835	-1.0316
KRTAP4-9	1	-2.7993	POLG	0.780963	0.064706	NBR1	1	-0.83578	DCUN1D3	0.998835	1.7217
COL20A1	1	-2.2663	GRXCR2	0.994346	-0.36507	IER2	0.89121	-0.44899	PEG10	0.998835	-3.5145
CNPY3	1	-1.9689	CTNNA1	1	-0.54139	C6orf52	1	-0.057555	PAPD7	0.998835	-3.3865
TMEM245	1	-1.5743	INO80B	0.998758	-0.70653	PEX6	0.972988	0.10392	AKAP10	0.998835	-3.0275
ZBTB22	1	-2.7118	MYL6	1	-0.94435	BZRAP1	1	-0.69126	KRT3	0.998835	-1.4317
FKBP3	0.691464	-0.26098	TXLNG	0.718841	-0.84321	IFI44L	1	-0.71406	GNG11	0.998835	-0.88658
CSF1R	1	-2.8971	ZNF418	0.997378	-0.48489	CES1	1	0.034443	KCNC2	0.998835	-2.7698
ANKRD30A	1	-2.8819	FBXO4	0.73785	-0.12099	STMN2	1	-0.43885	DENND4B	0.998835	-3.4196
TMEM257	0.621911	-1.4045	AFAP1	0.814406	-0.19155	DOCK7	1	-0.63632	ZNF134	0.998835	-3.5597
TRIM38	0.588244	0.93351	NBEAL2	0.976871	-0.30745	RBM44	1	-0.52731	ADO	0.998835	-1.2958
NDUFB7	1	-2.7094	TRUB1	0.85408	0.14946	MRPL16	0.963018	-2.1428	SCRT2	0.998835	-5.0235
U2AF1L4	1	-1.8158	CLDN15	0.975814	0.062263	SNX11	0.81215	-0.55164	DFFA	0.998835	-3.3004
CLEC2B	1	-2.1342	SULT1E1	0.865383	-0.76199	RRP1B	1	-0.47964	FGD3	0.998835	0.66229
REXO2	1	-2.6021	ASCL4	0.996974	-0.78457	DPP6	1	-0.59278	DSPP	0.998835	-3.9362
SLC12A2	0.910444	-2.7163	UCHL1	0.982575	-0.39496	GJB3	1	-1.2308	MROH5	0.998835	-1.4317
ING3	1	-3.2201	NCOA6	1	-0.33028	ARHGEF26	0.972988	-0.49695	ADH7	0.998835	-2.6634
PRKAG1	1	-2.7016	NPHS2	0.987741	-0.82577	CSN2	1	-0.51596	MAGEB16	0.998835	-4.8156
MBD3L2	0.785778	-0.34643	NSMAF	0.736526	0.41408	SOCS3	1	-0.53337	CD63	0.998835	-0.68372
EPCAM	1	-2.0029	UBXN7	1	-0.32051	EVI5	1	-1.0343	SNRK	0.998835	-3.2825
STX16	1	-1.8573	SERTAD2	1	-0.8765	CTDSPL2	1	-0.65467	SAR1A	0.998835	-1.8263
CABP1	1	-2.6351	RNF168	1	-0.45481	NCAM2	0.996088	-0.55012	C19orf45	0.998835	-0.68372
SAMM50	0.553358	-4.0338	SUGP2	0.99862	-0.48664	GAS1	0.672529	0.27247	GPR153	0.998835	-4.1969
POLR3D	1	-2.8447	SCN7A	0.962532	-0.51154	ASB17	1	-0.41861	RNASE4	0.998835	-3.632
SMAD6	1	-0.93754	ZNF354C	0.814406	0.24972	GKN1	1	-0.38562	FAM131C	0.998835	-2.6355
LOC388849	0.621911	-0.69274	UNC119B	0.994346	-0.7122	C10orf62	0.492103	0.23611	SPRYD7	0.998835	-3.6874
GNPAT	0.874078	-2.8426	NAT8	0.969604	-0.12536	HIST1H3D	1	-1.0986	TMED3	0.998835	-1.7241
RASA1	1	-2.8317	TBC1D8	0.975814	-0.36876	WNT10B	0.972988	-0.96609	IFI44	0.998835	-3.8898
GOLGA6L10	1	-2.5008	TNFAIP8L2	0.837602	-0.60818	ANGPTL3	1	-0.63558	GJB2	0.998835	-0.31326
OR14A16	1	-1.7712	VSX2	1	-0.49446	ADAM17	1	-0.54594	PLAG1	0.998835	2.0408
PATL2	1	-2.6461	ZDHHC15	0.80252	0.12173	TANGO2	0.972988	-0.67521	SPRR3	0.998835	-2.1359
PNPLA3	1	-2.2533	TREX2	0.968728	-0.42039	APBB1	1	-0.67735	KLHL4	0.998835	-3.2644
C19orf52	0.386996	1.0096	XRCC1	0.975814	-0.59558	GFPT1	0.92901	-0.93142	GZF1	0.998835	-1.3653
MCM7	1	-2.8169	NME2	0.955304	-0.56736	FYN	1	-0.85668	INHBC	0.998835	-0.57048
IL9	1	-2.4904	HIST1H3I	1	-0.52483	UACA	1	-0.80276	ANKH	0.998835	-3.9248
DLEC1	0.809366	0.8628	IL17RC	0.471721	0.036292	ZNF707	0.972988	-0.31733	SORBS3	0.998835	-4.4339
CCDC125	0.591784	0.3211	NRP1	0.865383	-0.55018	SPPL2A	1	-0.70995	TINAG	0.998835	-4.4816
CAPN3	1	-2.8145	AGAP2	1	-0.78471	ABHD17A	1	-0.88478	GPR83	0.998835	-1.2958
CLEC4E	1	-2.0786	ZNF429	1	-0.48698	HMGCS1	1	-1.5255	APCDD1	0.998835	-0.081164
TIE1	0.84943	-2.0563	TMC3	1	-0.45599	SOX12	1	-0.45565	SMDT1	0.998835	-0.68372
TUT1	1	-1.406	PAK6	1	-0.60082	VANGL1	1	-0.16259	RORC	0.998835	-2.6634
ARG2	1	-2.51	KIR2DL3	0.930027	-0.34976	COL8A1	1	-0.40666	LAMTOR1	0.998835	-2.5183
PYDC2	0.345768	-2.8189	RP1	1	-0.50922	MIA3	1	-1.1237	DCAF8	0.998835	-3.4032
CCNG1	1	-1.7929	TMEM59L	0.939412	-0.83686	CTLA4	1	-0.84497	CUBN	0.998835	-4.4339
DCDC2B	1	-2.2452	MYL4	0.981554	-0.6428	DTYMK	1	0.0070412	TMEM102	0.998835	-4.0672
MANEAL	0.322377	-1.5077	UGT2B17	1	-0.56048	CT47A6	1	-0.77481	OSBP2	0.998835	-4.2158
NDEL1	1	-2.0993	CKMT1A	1	-0.47783	MYADM	1	0.024384	IGFBP2	0.998835	-5.21
SULT6B1	0.72053	-2.7269	SYNGAP1	0.9967	-0.79773	TRERF1	0.81215	-0.44717	SLC2A5	0.998835	-1.2958
CDC16	1	-3.0391	OR2M4	0.814406	-0.46747	G6PC	0.963018	-0.69076	C3orf20	0.998835	-0.16511
RIMBP3	1	-1.7862	MAGIX	0.930027	-0.099997	NTNG2	1	-0.38676	KRTAP23-1	0.998835	-1.5559
NYAP1	0.318118	-2.0786	MBD3L1	1	-0.37035	SOAT1	1	-0.40904	CPT2	0.998835	3.4478
UBA3	1	-1.9436	SPPL3	0.916573	0.014034	ARMC1	0.791938	0.03093	C12orf57	0.998835	-0.9086
DOK7	1	-2.7782	CBX5	0.90719	-0.44221	ZZEF1	0.796883	-0.11766	FES	0.998835	-2.5781
TRIM33	1	-0.72666	C1orf112	1	-0.43294	STRN	0.914026	-0.56854	MYH9	0.998835	-1.0766
FAM189B	0.223755	-1.424	INPPL1	0.997658	-0.39714	ZFAT	1	-0.46509	PATE2	0.998835	-2.0113
TPX2	1	-0.35881	IP6K3	0.957167	-0.64224	SMARCA4	1	-0.49977	TARS	0.998835	-2.984
LRRC40	0.621911	-1.5915	TBATA	0.983344	-0.2846	GMEB2	0.972988	-0.5739	NGEF	0.998835	-2.7952
OSM	1	-2.7472	MAP7D1	0.582324	0.27925	TMEM33	1	-0.60405	ABI3BP	0.998835	-0.4476
CCDC112	1	-2.7353	EXOC3L2	0.997378	-0.41501	KIAA1524	1	-0.89872	TPRG1	0.998835	-2.6071
KIAA0100	1	-2.7538	GLMP	1	-0.6112	CIR1	0.846014	0.37883	KRTAP13-1	0.998835	-4.4972
MT1M	1	-2.1342	MAGED4	0.930027	-0.46459	PEX2	1	-0.97361	OR6C65	0.998835	-3.6461
TUBB6	0.910444	-2.7884	SLC8A1	0.684578	-0.085512	IWS1	1	-1.0974	PLA2G2E	0.998835	-3.7667
LRP5L	1	-1.7024	CCDC69	1	-0.5113	MOB1A	1	-0.7355	RGS11	0.998835	-2.0254
ANKLE1	1	-2.611	BLMH	1	-0.5403	CRH	0.506608	-0.8864	OR4N2	0.998835	-0.28
ZNF384	1	-2.2	PRAM1	0.641119	-0.12257	EGF	1	-0.53999	CDX2	0.998835	-3.6738
AIF1L	0.591784	-2.5437	C2orf50	0.993488	-0.49634	SPACA7	0.89121	0.063009	PGF	0.998835	-4.3845
OR1B1	1	-2.3841	LRRC71	1	-0.67598	SH3GL2	1	-0.47019	NHS	0.998835	-4.3676
ZNF418	0.319828	1.4149	HDAC9	1	-0.39386	SIRPG	1	-0.43734	TRIM3	0.998835	-2.5183
ACTR10	0.591784	-2.4882	ASB2	0.975814	-0.47237	PDGFC	1	-0.64438	SERAC1	0.998835	-0.31326
EXD3	1	-1.7343	IL2	0.693292	-0.068671	OVOL2	1	-0.70511	NANOS1	0.998835	-3.7794
CDKN2B	1	-2.7136	OXCT1	0.997596	-0.33818	MAST2	1	-0.15755	NLRP2	0.998835	-0.34267
SNX18	0.953656	0.53129	PIM2	0.814406	0.26538	MR1	0.987047	-0.63559	ZNF358	0.998835	4.4854
TAS2R9	1	-2.5191	PHIP	0.982575	-0.90887	FAM25G	1	-0.51812	CYR61	0.998835	1.5754
MMP2	0.741697	-2.7643	PITPNB	0.976871	-1.019	OLFML2B	0.81215	-0.22782	HEXIM1	0.998835	-3.2644
MRPL14	0.083591	-2.2498	TSFM	1	-1.6269	IMMP2L	1	-0.59255	STK32C	0.998835	-0.44333
EDN2	1	-2.0986	LCN9	0.970683	0.038313	KLHL12	1	-0.59721	KDM1B	0.998835	-3.6461
TMEM236	1	-1.6666	CALHM1	0.966443	-0.25313	TM2D2	1	-0.74207	SP6	0.998835	2.6272
C4orf47	1	-1.7286	PTPN22	0.530213	0.43385	ATP11B	1	-0.47463	NOVA2	0.998835	5.8831
FLG2	1	-1.8183	HOXA4	0.942303	-0.50829	SMARCB1	0.997678	-0.6609	TCP11X2	0.998835	-3.6461
WBP11	1	-2.7897	BCL2A1	0.820732	-0.36156	SMARCD2	1	-0.76186	NIPA1	0.998835	-4.9909
PGM3	1	-1.9032	IGSF9B	1	-0.37576	TMSB4X	1	-0.54911	ST6GAL2	0.998835	-6.6742
RPL18A	0.894421	-2.7897	ERMARD	0.85408	-0.52686	OTOG	1	-0.76866	OR2T5	0.998835	-2.7952
EPB41L1	1	-1.0048	SIGLEC5	0.930027	-0.75447	ANKRD63	0.897144	-0.10106	COQ7	0.998835	-4.253
LRRC18	1	-2.0773	PEX14	1	-0.43023	NBPF3	1	-0.61158	DNAH10	0.998835	-2.486
ERCC6L	1	-1.33	CNOT4	0.86353	-0.51924	ITGB1BP1	1	-0.40459	DSC3	0.998835	-4.5873
GOLGA6D	0.46436	-2.758	CCDC62	0.669489	0.28081	COX15	1	-1.054	NKX2-2	0.998835	1.6669
RFC4	1	-1.6603	LCE3B	0.88251	0.014908	DACH2	0.233562	0.36044	C19orf44	0.998835	-4.1484
CFC1B	1	-2.127	AKAP12	0.941466	-0.032146	TCEANC2	1	-0.56135	MAPKAPK3	0.998835	-1.0795
DRD1	0.812216	-0.7665	ENTPD5	1	-0.77125	CARM1	1	-0.48655	KCNG4	0.998835	-2.6907
RREB1	1	-2.0356	CCL16	0.480501	0.72982	CPA2	1	-0.71674	IFNGR1	0.998835	-3.0059
EVA1B	1	-2.7575	KIAA0319L	0.964024	0.058745	FFAR4	1	-0.74736	TCEAL8	0.998835	-1.2227
SLC23A1	1	-2.7498	MGC50722	1	-0.67867	TXLNB	1	-0.12711	ZFAT	0.998835	2.4295
ARID3A	1	-2.6812	CCDC160	0.825622	0.06286	INPP5K	1	-0.38628	RMDN1	0.998835	-3.7009
RPS19	1	-2.131	CERKL	1	-0.2982	CIART	1	-0.73665	HPS6	0.998835	-2.9617
ANKRD31	1	-1.1977	MAP2K2	1	-0.43484	UGCG	1	-0.64854	RARRES2	0.998835	-3.5145
NSL1	0.284471	-0.14622	SSTR4	0.994346	-0.51875	FGF3	0.672529	-0.24791	DCBLD1	0.998835	-0.57048
SNX14	1	-1.6434	KCNQ1	0.90719	0.00099166	MYBPH	1	-0.53855	PLEKHG4	0.998835	-1.4317
CHST3	1	-2.5371	OMD	0.997378	-0.63947	RHAG	1	-0.29788	ARRDC3	0.998835	-4.4094
IL7R	1	-1.8299	TSPY4	0.930027	-0.43546	YEATS2	0.81215	-1.0602	POM121L2	0.998835	4.2487
OR2M2	1	-1.7755	CD38	1	-0.32733	UBASH3B	1	-0.55003	LUZP1	0.998835	-3.4991
SLMO2	1	-3.8087	TMEM189-UBE2V1	0.997596	-0.31265	PLA2G4D	1	-0.89864	C16orf96	0.998835	7.5558
AARS2	0.591784	-3.4302	PRKRA	0.975814	-1.0645	ARID1A	1	-0.26919	PVRL4	0.998835	-3.7537
SEMG2	0.803974	0.16172	EHD4	1	-0.52231	ATP6V0A2	0.849216	-0.66422	ARL6	0.998835	-4.4094
CYTIP	1	-0.63949	ABCG8	0.994346	-0.10542	TRA2B	1	-0.93579	CHCHD10	0.998835	-3.2825
CXorf49	1	-2.6775	PTX3	0.976871	-0.31445	MVK	1	-0.46338	MMP21	0.998835	-1.6142
TMCO3	0.591784	-2.7252	MAN2B2	0.610373	0.30111	FNDC5	1	-0.71435	NEU2	0.998835	-4.0672
LDLRAD3	1	-2.6499	CD1E	1	-0.55989	ABRA	0.966785	-0.58387	DCXR	0.998835	-3.2644
SLC46A2	0.880128	-1.0798	ADAMTS19	1	-0.34641	OTOP1	0.987047	0.13221	SERPING1	0.998835	-3.7143
TIGD2	0.357126	0.7629	PDHX	0.780963	0.36627	TOR1AIP1	1	-0.85675	HDAC5	0.998835	2.6924
ARID3C	1	-0.34969	TBC1D22B	0.814406	0.26659	SLC39A3	0.89121	0.17958	COX7A1	0.998835	7.295
CERS3	1	-0.39744	MEOX1	0.84445	0.20615	CDK5RAP3	0.81215	0.4	TRPM6	0.998835	5.7562
POTEB2	1	-1.668	AIP	1	-0.365	RAD51B	1	-0.49789	SLC41A3	0.998835	-2.3569
GTF3C3	0.227229	-0.13875	LOC283710	1	-0.415	EGR2	0.998427	-0.90828	KMT2C	0.998835	-3.632
MET	0.75631	-1.4744	ADAM7	1	-0.35949	RUFY2	0.81215	-0.11286	TCF3	0.998835	-4.5278
CNTNAP3B	1	-1.9374	TEX9	1	-0.24998	C8orf88	1	-0.93467	RLN2	0.998835	-3.0275
AFTPH	1	-2.1682	COX11	1	-0.68991	SEMG1	0.963018	-0.079574	PCP4	0.998835	-4.3845
SNX1	0.282547	0.43984	TMEM246	0.684578	0.36949	C10orf35	1	-0.3209	SLC25A44	0.998835	-1.4317
FILIP1	0.529516	1.0261	FAM98A	0.557284	0.11626	EPHB6	1	-0.42452	KLF14	0.998835	-1.2227
CHMP2B	0.877592	-1.8697	HIST1H4B	0.930027	-0.43973	SSBP3	1	-0.69222	TRIM27	0.998835	-2.2506
KLHL40	1	-0.66777	STRC	0.997839	-0.71755	TEX2	0.81215	0.26297	ARL6IP5	0.998835	-3.4835
